greetings,menu,price,Payment,order,order customization,ingredients,confirmation,help,,,,,,,,,,,,
"Hi there, I’d like to place an order.",Can I see the menu please,How much is a cheeseburger?,I will pay by card,"I’ll have a Whopper, please.",I’ll have a Whopper with extra lettuce please.,What’s inside the cheeseburger?,"Yes, that’s all for now.","Can I speak to someone, please?",,,,,,,,,,,,
Hi,Do you have any vegan item?,What’s the price of a Whopper meal?,Hello can i pay by cash?,i’ll also have some fries,,Does the Whopper have pickles?,yes that's it. Thank you,,,,,,,,,,,,,
Hello,You guys sell cheeseburger?,How much does a vegan burger cost?,I only have cash,i would like a coke,i would like a coke no ice,Are there onions in chicken royale?,"Yes, that's everything.",Can you get a manager for me?,,,,,,,,,,,,
How are you?,What is new today?,Can you tell me the price of a kids' meal?,I can only pay with card,"Hello, I would like to order a chicken royale meal please","Hello, I would like to order a chicken royale meal please and add ketchup",What come with the vegan burger?,"Yes, only that much","I need assistance, please.",,,,,,,,,,,,
Is anyone there,"Can I see the menu, please?",What’s the price of a large fries?,pay by card,"Yes, a large fanta.",,Does your burger contain mayonnaise?,No more,Can you send someone over here?,,,,,,,,,,,,
what's up,What’s on the menu today?,How much is a medium Coke?,pay by cash,"No, but I want some chilli bites.",,Is there bacon in the double cheeseburger?,That's it,Is there anyone available to help me?,,,,,,,,,,,,
hey,Do you have any vegan items?,How much are your desserts?,what are the payment options?,"Hello, I'd like to order a cheeseburger with fries, please.","Hello, I'd like to order a cheeseburger no pickel with fries, please.",Do you use cheese in your bacon double?,"That’s all, thank you.","I have a question, can someone assist me?",,,,,,,,,,,,
"Hi there, can I order something?",,What’s the price difference between a small and large meal?,How can I pay?,"Yes, I'll have a large cola, please.","Can I get a Bacon Double X L less bacon with a Fanta, please?",Does the Cheese Loaded Fries have barbeque sauce,"Yes, that’s everything I need.","I’m having trouble, can you help me out?",,,,,,,,,,,,
"Hello, anyone available to take my order?",What’s the most popular item on the menu?,How much is a double cheeseburger?,Do you want cash or pay by card,"Yes, I'll also have a 6 piece nuggets.",I would like to have a Whopper with more meat please.,What goes into making of smoky bacon whopper,"That’s everything, thanks!",Could you get a staff member to come over here?,,,,,,,,,,,,
"Good morning, can I get some help?",What do you recommend for a quick bite?,What’s the cost of a chicken wrap?,How do I pay?,I would like to a whopper with cheese please. also some fries and a large coke zero,I would like to a whopper with cheese please and add bacon.,,"Yes, that will be all.",,,,,,,,,,,,,
"Hey, is the till open?",You got any spicy burgers?,Do you have any meals under £5?,How can I make a payment?,"Yes, I am here with my son so i need a kid cheeseburger and some onion rings","Yes, I am here with my son so i need a kid cheeseburger with heavy cheese ",,That’s all I require.,,,,,,,,,,,,,
"Hi, I would like to place an order.",What are today’s specials?,How much is the most expensive item on the menu?,What payment methods do you accept?,And also a bottle of water please.,And also a room temperature bottle of water please.,,That’s the complete order.,Can I talk to a manager about my order?,,,,,,,,,,,,
"Hello, can you help me with my order?",,How much does a coffee cost?,What are my payment options?,"I would like to have a Whopper with some fries, please.",I would like to have a Whopper with two meat ,Can you share the ingredients for the Classic Double Melt,No further items for now.,Can you help me with an issue I’m having?,,,,,,,,,,,,
"Good evening, I am here to order something.",You guys sell cheeseburgers?,What’s the price of a bottle of water?,Can I pay by card?,"Can I get a Bacon Double X L with a Fanta, please?",Can I get a Bacon Double X L heavy cheese,What are the ingredients of the whopper,"Yes, that’s the full order.",I need someone to come and take my order.,,,,,,,,,,,,
"Hi, is this the ordering counter?",What’s your best-selling meal?,Can you tell me the price of a milkshake?,Can I pay by cash?,I'll have a Smoky Bacon Whopper with a large Sprite Zero.,I'll have a Smoky Bacon Whopper no ketchup.,Does the 4 Chilli Bites have chicken,"I am done ordering, thank you.",Can you get the supervisor for me?,,,,,,,,,,,,
"Hello, ready to place an order.",Do you have chicken nuggets?,How much for extra cheese on a burger?,Can I use a card for payment?,Could I order a Cheese Burger and a side of 6 Chilli Bites?,Could I order a Cheese Burger with one more patty,Can you tell me what's in a Tea,That will be all for me.,"I need to change something in my order, can someone help?",,,,,,,,,,,,
"Hi there, is anyone available?",What’s new on the menu?,How much are the onion rings?,Can I use cash to pay?,Please give me a PB Whopper and a small Coke.,Please give me a PB Whopper with no mayo or vegan mayo,Are there any cheese chilli bites in the Smoky bacon whopper,I am all set with that.,Could someone come help me with my selection?,,,,,,,,,,,,
"Good afternoon, can I order now?",Are there any deals or combos right now?,What’s the price for a family combo meal?,How can I pay for my order?,I'd like a Classic Double Melt with large fries and a Diet Coca-Cola.,I'd like a Classic Double Melt with cheese and bacon,What's inside a PB Whopper,"Yes, I’m finished for now.",I have a complaint and need someone to assist me.,,,,,,,,,,,,
Hi there!,Do you have plant-based options?,How much is a plain burger?,Do you accept credit cards?,I want a Chicken Royale and some 6 Nuggets.,I want a Chicken Royale with heavy cheese,What are the ingredients of the bacon stacker,That’s everything I want.,Can you help me with a special request?,,,,,,,,,,,,
"Hey there, I am ready to order.",Is the Whopper available?,What’s the cost of a small fries?,Can I pay with cash or card?,Can I get a large Fanta with some Bacon Loaded Fries?,Can I get a large Fanta no ice?,Is there chicken in the Chicken Royale,I have no more to add.,Could I get some assistance with my payment?,,,,,,,,,,,,
"Hi, do you have time to take my order?",Do you serve any milkshakes?,How much do your sauces cost?,What type of payment do you accept?,"Yes, I’ll take a Steakhouse Chicken meal and a bottle of water.","Yes, I’ll take a Steakhouse Chicken and do not add crispy onion",What goes into making a Ham Burger,I don’t need anything else.,Can I get some help with modifying my order?,,,,,,,,,,,,
"Hello, I would like to make an order.",Can I get a kids’ meal here?,Is there an extra charge for bacon?,Is it possible to pay by cash or card?,"Could I have a Bacon Double with a small Sprite Zero, please?",Could I have a Bacon Double with extra bacon,Does the Bacon Double X L have bacon,That’s everything I’d like.,Could someone explain the menu to me?,,,,,,,,,,,,
"Hi, I need assistance with ordering.",Is there a vegan burger on the menu?,,Do you take card payments?,"I'd like to order 4 Chilli Bites and a Ham Burger, thanks!","I'd like to order a Ham Burger and add lettuce, thanks!",Can you share the ingredients for the Chimichuri Angus,"Nothing more for me, thanks.",I need someone to come over to explain my bill.,,,,,,,,,,,,
"Hi, is someone available at the till?",Are fries included in the meal?,What’s the price of a chicken nugget meal?,Are both card and cash accepted for payment?,I’ll have a Steakhouse Angus and a side of small fries.,I’ll have a Steakhouse Angus with onion in it,What are the ingredients of the Sprite,"Yes, I’m done for now.",Could someone assist me with customizing my meal?,,,,,,,,,,,,
"Hello, can I ask about your menu?",What kind of dips do you have?,How much do your wraps cost?,Do you support contactless payment?,Please get me 9 Nuggets with a Classic Double Melt and a Coca-Cola Classic.,Please get me  a Classic Double Melt and add bacon.,Is there tomato in the Whopper,That’s the whole order.,Can I get help with a refund?,,,,,,,,,,,,
"Hey, can I get some help here?",,Can I get a large meal for under £10?,Can I use my debit card to pay?,Could you bring me a Vegan Royale and a large Fanta?,Could you bring me a Vegan Royale with cheese,Do you use lettuce in the Crispy Chicken,I won’t add anything else.,Can someone come over to answer my question?,,,,,,,,,,,,
"Hi there, are you open for orders?",What desserts do you offer?,What’s the price for a large drink?,Can I pay using Apple Pay?,"I would like a Chimichuri Chicken with Cheese Loaded Fries, please.",I would like a Chimichuri Chicken with Cheese please.,What's inside a Double Whopper,"Yes, I’m satisfied with this.",Can you get someone to explain the new promotions?,,,,,,,,,,,,
"Good day, I would like to make an order.",Is there any fish on the menu?,How much do your salads cost?,Do you accept digital wallets for payment?,I’m going to have a Whopper and 20 Chilli Bites.,I’m going to have a Whopper with one more patty,What goes into making a Cocacola Zero,I’m all done with that.,"Can I talk to the shift manager, please?",,,,,,,,,,,,
"Hello, whatâ€™s available to order today?",,How much is a medium fries?,I’ll pay with my card.,"I’d like a 5 Doritos and a Bacon Stacker, please.",I’d like a Bacon Stacker. No onion ring please,Is there cheese in the Cheese Burger,"That’s enough for now, thanks.",I need help deciding what to order.,,,,,,,,,,,,
"Hi, can I have a look at the menu?",Do you have any meal deals?,What’s the price of your ice cream?,I prefer to pay by cash.,Give me 20 Doritos and a Hot Chilli sauce with that.,Give me 20 Doritos and add more spicy dust.,Can you tell me what's in a Large Fries,That’s all for me today.,Can someone explain what’s in the meal I ordered?,,,,,,,,,,,,
"Hey, I want to order some food.",What sauces do you have for the burgers?,How much is a single cheeseburger?,I want to pay by credit card.,I’ll take a Chicken Royale and 4 Nuggets with Barbeque Sauce.,I’ll take a Chicken Royale with Barbeque Sauce.,Are there any onions in the Smoky bacon whopper,"Yes, that’s all I need.",Can someone come check my order?,,,,,,,,,,,,
"Hello, could I place an order now?",Can I get a double cheeseburger?,,Can I pay using my debit card?,I want a PB Whopper with a large Diet Coca-Cola and some fries.,"I want a PB Whopper without ketchup, pickel and mayo",Does the 9 Chilli Bites have crispy onion,"Everything’s set, thank you.","I’m having trouble with the self-order kiosk, can you help?",,,,,,,,,,,,
"Hi, can I confirm my order here?",What comes in the Whopper meal?,How much are your vegan items?,"I have a card, can I use it to pay?",Please bring me a Steakhouse Chicken with some Chimichuri Loaded Fries.,Please bring me a Steakhouse Chicken without anything,What are the ingredients of the Water,"That’s it, I’m good.",I need someone to verify my order.,,,,,,,,,,,,
"Hey, whatâ€™s the special today?",,What’s the price of a Big Mac?,Do you accept card payments?,I'd love a Cheese Burger with small fries and a Tea.,I'd love a Cheese Burger plain,Can you share the ingredients for the Whopper,"Yes, that’s all I’m ordering.",I need to speak with someone about my experience.,,,,,,,,,,,,
"Hello, could you take my order please?",Do you guys sell Big Macs?,How much for a burger without the meal?,Can I pay with my bank card?,I’d like to get a Whopper with 9 Chilli Bites and a Diet Coca-Cola.,I’d like to get a Whopper plain,What goes into making a Spicy Mayo,"Nothing else, thank you.",Could someone assist me with the payment options?,,,,,,,,,,,,
"Hi, is there anyone here to help?",Are there any sides besides fries?,How much does a family meal cost?,I’d like to use my card to pay.,Can I get a large Sprite Zero with 6 Nuggets?,I’d like to get a Whopper only lettuce,What's inside a 20 Nuggets,I’m finished with my selection.,Can someone help me place a complicated order?,,,,,,,,,,,,
"Good morning, I am here to order.",Do you have chicken burgers?,,I’ll use cash to pay.,"Yes, I'd like a Smoky Bacon Whopper with some BBQ Sauce.","Yes, I'd like a Smoky Bacon Whopper with only smoky mayo, bacon and cheese",Is there mustard in the Classic Double Melt,"Yes, I’m good with this.",Is there anyone who can help me with the ingredients?,,,,,,,,,,,,
"Hi, are you ready to take my order?",,How much is a grilled chicken sandwich?,I only have a card to pay.,"Could you bring me a Chimichuri Angus with a large Fanta, please?",Could you bring me a Chimichuri Angus plain,Do you use ketchup in the PB Whopper,"All done, thank you.","I need help adjusting my order, can you get someone to help?",,,,,,,,,,,,
"Hello, I have a question about ordering.",Do you have large fries?,What’s the cost of a breakfast wrap?,I can pay only by cash.,I’ll take a Vegan Royale and a side of Cheese Loaded Fries.,I’ll take a Vegan Royale only patty.,Does the Ham Burger have pickles,"Yes, that’s all for today.",Can I get someone to explain the drink sizes to me?,,,,,,,,,,,,
"Hi, could you help me with my selection?",,How much are your spicy items?,"I don’t have cash, but I can pay by card.",Could I have 4 Nuggets with some Barbeque Sauce and a large Coke?,,What are the ingredients of the Diet Cocacola,That’s the total I’d like.,I need some assistance with this offer.,,,,,,,,,,,,
"Hey there, can I get started on my order?",What sizes do your drinks come in?,How much is a large coffee?,Can I pay for my order with cash instead of card?,I’d like a Classic Double Melt and 20 Chilli Bites with a Coca-Cola Classic.,I’d like a Classic Double Melt plain.,Can you tell me what's in a Tea,"I’m all done, thank you for your help.",Can someone come and take my order directly?,,,,,,,,,,,,
"Hi, is the till assistant working?",Do you offer ice cream?,Is there an additional charge for sauces?,Can I use my gift card to pay?,"Yes, I’d like a Chicken Royale meal with a Fanta and some Large Fries.","Yes, I’d like a Chicken Royale with cheese and bacon.",What's inside a Sprite Zero,"Yes, I’ve made my choices.",I need assistance with ordering online.,,,,,,,,,,,,
"Hello, do you have time for an order?",What kind of coffee do you serve?,How much is a combo meal?,Do you accept prepaid cards?,Please give me 4 Chilli Bites and a large Sprite Zero.,Please give me 4 Chilli Bites and a large Sprite Zero.,Is there mayonnaise in the Cheese Loaded Fries,"That’s all, thanks for taking my order.",Could someone assist me with an allergen-related question?,,,,,,,,,,,,
"Hey, I would like to place a quick order.",Do you sell bottled water?,How much do kids' meals cost?,"I only have cash, can I still pay?",I want a Bacon Double X L with 5 Doritos and a bottle of water.,I want a Bacon Double X L with heavy cheese and bacon,What goes into making a Chicken Royale,No more items for me.,"I need help figuring out the best deal, can someone assist me?",,,,,,,,,,,,
"Good afternoon, are you available to assist?",,How much is the cheapest burger?,I can only pay with cash.,"Could I get 6 Nuggets and a Classic Double Melt with Mayo, please?","Could I get a Classic Double Melt with Mayo, please?",Do you use bacon in the Bacon Double X L,That’s it for now.,Could I speak with a staff member about the menu options?,,,,,,,,,,,,
"Hello, I would like some assistance with my order.",,How much is a side of fries?,"I don’t have a card, can I pay in cash?",I would love a Whopper with a Diet Coca-Cola and some Fries.,I would love a Whopper with only ketchup and lettuce,Does the Smoky bacon whopper have smoky mayo,"I don’t need anything else, thanks.",I have a specific request for my food; can someone help me with it?,,,,,,,,,,,,
"Hello, do you have meal deals right now?",What time do you stop serving breakfast?,What’s the price for a Coke Zero?,I prefer paying with cash.,"Yes, I’d like a PB Whopper and 3 Chilli Bites, please.","Yes, I’d like a plain PB Whopper ",Are there any tomatoes in the Crispy Chicken,I’ve selected all I want.,Can I have someone help me make a special request for my meal?,,,,,,,,,,,,
